student,time,chiptype
KH,133,chocolate
JvK,114,chocolate
HH,102,chocolate
LO,154,chocolate
SG,85,chocolate
CL,188,chocolate
LC,105,chocolate
EH,64,chocolate
JR,135,chocolate
BB,126,chocolate
LR,115,chocolate
MB,95,chocolate
JO,92,chocolate
MG,112,chocolate
IQ,142,chocolate
ML,172,chocolate
RUR,185,chocolate
EP,119,chocolate
NL,131,chocolate
TS,60,chocolate
KH2,108,chocolate
NN,192,chocolate
NH,120,chocolate
PS,95,chocolate
KJ,104,chocolate
KH3,90,chocolate
SS,192,chocolate
JS,162,chocolate
GA,120,chocolate
DC,91,chocolate
TA,94,chocolate
KH,94,butterscotch
JvK,112,butterscotch
HH,130,butterscotch
LO,129,butterscotch
SG,108,butterscotch
CL,179,butterscotch
LC,91,butterscotch
EH,65,butterscotch
JR,132,butterscotch
BB,105,butterscotch
LR,100,butterscotch
MB,81,butterscotch
JO,72,butterscotch
MG,95,butterscotch
IQ,170,butterscotch
ML,195,butterscotch
RUR,187,butterscotch
EP,102,butterscotch
NL,110,butterscotch
TS,50,butterscotch
KH2,89,butterscotch
NN,178,butterscotch
NH,82,butterscotch
PS,83,butterscotch
KJ,91,butterscotch
KH3,57,butterscotch
SS,148,butterscotch
JS,101,butterscotch
GA,77,butterscotch
DC,68,butterscotch
TA,79,butterscotch